CLASE DE EQUIPO;ESTADO DEL EQUIPO;MARCA;MODELO;SERIAL DEL EQUIPO;MEMORIA RAM;DISCO DURO;SERIAL MONITOR;SERIAL MOUSE;NOMBRE ACTUAL DEL EQUIPO;NOMBRE NUEVO DEL EQUIPO
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050HF7;4 GB;500 GB;CN420503D0;NO LEGIBLE;TLC01ENELUAGUDE;TLC01ENELUAGUDE
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL1380MN1;4 GB;500 GB;3CQ04809DP;SIN MOUSE;COD01ADMDFSEDANO;COD01ADMDFSED01
PC PORTATIL;EN USO;HP;HP PROBOOK 6470B;CNU3029SM7;4 GB;500 GB;N/A;SIN MOUSE;CAM01COMCAAMAP1;VER02COMCAAMAP3
PC PORTATIL;EN USO;HP;HP 245 G7 NOTEBOOK;5CG9461H9Y;8 GB;500 GB;N/A;SIN MOUSE;EMCALI-P1-0526;EMCALI-P1-0526
PC ESCRITORIO;EN USO;HP;HP Z240 SFF WORKSTATION;2UA7501LTP;8 GB;500 GB;CNC7420551M;FCMHH0CQWA0JUZ;TLC01ENEJAAGONZ;TLC01ENEJAAGONZ
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8300 SFF;MXL3031KG7;4 GB;500 GB;CNC248P6LK;NO LEGIBLE;TLC01ENEJAAGON1;TLC01ENEJAAGON1
PC ESCRITORIO;EN USO;HP;HP Z240 SFF WORKSTATION;2UAA7501LQV;8 GB;500 GB;CNC7420549;FCMH0CQWA0MS0;NAV02GENAMOSPIN;COD02ADMAMOSPIN
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8300 SFF;MXL33712M3;4 GB;500 GB;ZUKZHTKC500591F;7CH120751S;YUM01COMCASIL;VER01COMCAAMART
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8300 SFF;MXL3371G87;4 GB;500 GB;3CQ34713RZ;FCGLH0D9W4TFOD;COD01ADMYANAVIA;COD01ADMYANAVIA
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL11823ZD;4 GB;500 GB;3CQ3460VTQ ;X5J91743704588;VER01COMCASIL05 ;VER02COMCAAMART
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL1311Z18;4 GB;1 TB;3CQ04808GS;FATSK0JUJYBAKT;TLC01ENEJFGOM01;TLC01ENEJFGOM01
PC ESCRITORIO;EN USO;HP;HP Z240 SFF WORKSTATION;2UA7501LQT;8 GB;500 GB;CNC742053G;FCMHH0CQWA0M66;TLC01ENEYAGONZA;TLC01ENEYAGONZA
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8300 SFF;MXL3031KF5;4 GB;500 GB;CNC248P6H0;SIN MOUSE;COD02ADMPAPRETE;COD02ADMPAPRETE
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8300 SFF;MXL33712X9;4 GB;500 GB;CNC248P6CB;SIN SERIE;CAL14COMFICHERO;VER02COMCAAMAR2
PC PORTATIL;EN USO;HP;HP 245 G7 NOTEBOOK;5CG9461JMR;8 GB;500 GB;N/A;SIN MOUSE;BOU11GENAMMERP1;SFE03TELAMMERP1
PC ESCRITORIO;EN USO;HP;HP ELITEDESK 800 G2 SFF;MXL6481FND;8 GB;500 GB;6CM6350KVZ;FCMHH0AKZ43ARB;DIE01ADMCRASPR;DIE01ADMMOGOL
